City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,batyrevo,55.0675,47.6111,20.29,58,0,2.28,RU,2023-08-10 03:13:50
156,panaba,21.2833,-88.2667,29.3,65,19,4.58,MX,2023-08-10 03:13:50
157,afaahiti,-17.75,-149.2833,25.93,72,97,7.01,PF,2023-08-10 03:05:28
158,swift current,50.2834,-107.8014,17.94,60,74,9.23,CA,2023-08-10 03:13:51
159,booue,-0.0921,11.9385,23.66,77,93,1.58,GA,2023-08-10 03:13:51
160,kapa'a,22.0752,-159.319,30.99,76,75,8.75,US,2023-08-10 03:05:20
161,raduzhny,62.0961,77.475,10.46,95,100,6.29,RU,2023-08-10 03:07:20
162,ain sefra,32.75,-0.5833,27.35,24,49,2.3,DZ,2023-08-10 03:13:52
163,hermanus,-34.4187,19.2345,12.11,72,0,3.72,ZA,2023-08-10 03:05:42
164,selfoss,63.9331,-20.9971,10.58,75,100,2.49,IS,2023-08-10 03:09:18
165,mbanza-ngungu,-5.25,14.8667,20.05,79,56,2.67,CD,2023-08-10 03:04:58
166,qarqaraly,49.4058,75.4742,20.57,62,98,3.62,KZ,2023-08-10 03:09:37
167,lushun,38.8,121.2667,29.12,62,0,10.8,CN,2023-08-10 03:09:00
168,vorgashor,67.5833,63.95,12.39,69,73,4.68,RU,2023-08-10 03:00:57
169,great falls,47.5002,-111.3008,19.25,78,100,6.17,US,2023-08-10 03:13:54
170,olhao,37.0286,-7.8411,24.94,55,0,2.06,PT,2023-08-10 03:13:54
171,basugaon,26.4667,90.4,27.36,88,100,1.38,IN,2023-08-10 03:13:54
172,yetkul',54.8221,61.588,18.28,78,68,3.78,RU,2023-08-10 03:13:55
173,conceicao da barra,-18.5933,-39.7322,21.17,84,20,1.59,BR,2023-08-10 03:13:55
174,valle de la pascua,9.2155,-66.0073,23.47,93,81,1.17,VE,2023-08-10 03:13:11
175,lebu,-37.6167,-73.65,11.3,88,43,5.95,CL,2023-08-10 03:01:31
176,port macquarie,-31.4333,152.9167,23.27,30,45,2.25,AU,2023-08-10 03:13:56
177,westport,41.1415,-73.3579,24.99,69,0,2.06,US,2023-08-10 03:06:32
178,codrington,-38.2667,141.9667,12.28,73,100,6.41,AU,2023-08-10 03:08:58
179,yichun,47.7,128.9,21.19,89,88,2.61,CN,2023-08-10 03:13:57
180,ancud,-41.8697,-73.8203,11.33,81,100,14.22,CL,2023-08-10 03:00:15
181,taro,-8.3862,115.28,22.0,51,44,1.72,ID,2023-08-10 03:13:58
182,rapar,23.5667,70.6333,27.68,78,100,8.08,IN,2023-08-10 03:13:58
183,tsiombe,-25.3,45.4833,18.04,91,20,3.45,MG,2023-08-10 03:06:59
184,nuriootpa,-34.4833,139.0,14.43,63,64,4.53,AU,2023-08-10 03:13:59
185,abu jibeha,11.4562,31.2285,21.69,94,100,2.13,SD,2023-08-10 03:13:59
186,bogo,11.0517,124.0055,30.92,66,100,1.53,PH,2023-08-10 03:13:59
187,dunedin,-45.8742,170.5036,5.71,75,59,4.71,NZ,2023-08-10 03:08:54
188,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,2023-08-10 03:05:06
189,mazagao,-0.115,-51.2894,28.03,92,69,1.89,BR,2023-08-10 03:09:40
190,fort st. john,56.2499,-120.8529,20.94,49,75,5.14,CA,2023-08-10 03:05:20
191,arraial do cabo,-22.9661,-42.0278,20.87,86,36,8.35,BR,2023-08-10 03:01:14
192,campos belos,-13.0367,-46.7717,25.12,38,90,1.83,BR,2023-08-10 03:12:54
193,nuuk,64.1835,-51.7216,4.34,100,100,5.14,GL,2023-08-10 03:05:26
194,hadibu,12.65,54.0333,25.6,81,100,9.3,YE,2023-08-10 03:06:01
195,bogale,16.2833,95.4,29.0,75,100,4.31,MM,2023-08-10 03:14:01
196,port mathurin,-19.6833,63.4167,22.32,75,7,5.67,MU,2023-08-10 03:04:48
197,hawaiian paradise park,19.5933,-154.9731,27.73,70,75,3.6,US,2023-08-10 03:05:04
198,mandalgovi,45.7625,106.2708,24.62,38,97,4.92,MN,2023-08-10 03:14:03
199,khost,33.3395,69.9204,28.73,51,11,1.46,AF,2023-08-10 03:14:03
200,wanning,18.8003,110.3967,32.26,59,76,5.1,CN,2023-08-10 03:09:32
201,tema,5.667,-0.0166,24.15,83,100,4.6,GH,2023-08-10 03:14:04
202,khawr fakkan,25.3313,56.342,30.03,73,8,2.07,AE,2023-08-10 03:14:04
203,san antonio de pale,-1.4014,5.6325,23.57,79,95,5.08,GQ,2023-08-10 03:02:52
204,san patricio,28.017,-97.5169,30.1,80,0,8.58,US,2023-08-10 03:04:47
205,crane,31.3974,-102.3501,33.32,22,48,2.61,US,2023-08-10 03:09:19
206,cromwell,41.5951,-72.6454,23.49,85,0,1.54,US,2023-08-10 03:14:05
207,touros,-5.1989,-35.4608,23.62,84,53,5.87,BR,2023-08-10 03:06:07
208,aswan,24.0934,32.907,32.1,20,4,3.87,EG,2023-08-10 03:14:06
209,coquimbo,-29.9533,-71.3436,13.85,94,100,4.12,CL,2023-08-10 03:14:06
210,masterton,-40.9597,175.6575,7.16,98,100,2.0,NZ,2023-08-10 03:14:06
211,potosi,-19.5836,-65.7531,6.88,19,0,2.62,BO,2023-08-10 03:14:06
212,severo-yeniseyskiy,60.3725,93.0408,17.73,55,28,3.33,RU,2023-08-10 03:06:04
213,kempsey,-31.0833,152.8333,23.3,38,40,1.34,AU,2023-08-10 03:14:07
214,betio village,1.358,172.9211,32.02,73,29,2.01,KI,2023-08-10 03:05:02
215,rumonge,-3.9736,29.4386,22.28,54,2,1.34,BI,2023-08-10 03:14:07
216,rabigh,22.7986,39.0349,30.0,79,0,2.14,SA,2023-08-10 03:14:08
217,lata,40.1629,-8.3327,17.18,95,60,1.07,PT,2023-08-10 03:00:54
218,buriti alegre,-18.14,-49.0403,19.69,48,0,2.23,BR,2023-08-10 03:14:08
219,port augusta,-32.5,137.7667,16.1,50,0,4.02,AU,2023-08-10 03:14:08
220,bataipora,-22.2953,-53.2711,21.6,52,0,1.91,BR,2023-08-10 03:14:09
221,naze,28.3667,129.4833,27.78,78,21,5.49,JP,2023-08-10 03:08:47
222,jayapura,-2.5333,140.7,33.66,71,41,2.94,ID,2023-08-10 03:14:09
223,villa lazaro cardenas,20.4583,-97.7,24.23,88,20,0.93,MX,2023-08-10 03:14:10
224,troitsk,54.0979,61.5773,18.44,79,16,4.52,RU,2023-08-10 03:14:10
225,urucara,-2.5364,-57.76,25.39,71,27,1.38,BR,2023-08-10 03:10:43
226,pandan,14.0453,124.1694,31.36,62,79,2.72,PH,2023-08-10 03:06:05
227,waiuku,-37.25,174.75,13.47,80,93,4.42,NZ,2023-08-10 03:14:11
228,gaoual,11.75,-13.2,23.6,98,100,1.02,GN,2023-08-10 03:14:11
229,usogorsk,63.4106,48.6872,19.07,69,14,0.09,RU,2023-08-10 03:10:21
230,kalmunai,7.4167,81.8167,28.63,69,100,2.24,LK,2023-08-10 03:02:50
231,howrah,22.5892,88.3103,30.0,84,40,3.6,IN,2023-08-10 03:01:24
232,zalari,53.5584,102.5065,22.16,61,99,4.68,RU,2023-08-10 03:14:12
233,whitehorse,60.7161,-135.0538,20.43,39,75,3.09,CA,2023-08-10 03:04:43
234,belmonte,-15.8631,-38.8828,21.62,72,1,3.13,BR,2023-08-10 03:06:30
235,gizo,-8.103,156.8419,26.52,81,99,9.96,SB,2023-08-10 03:14:13
236,ataq,14.5377,46.8319,25.05,60,99,5.47,YE,2023-08-10 03:14:13
237,saipan,15.1355,145.701,27.39,100,75,4.92,MP,2023-08-10 03:04:47
238,nambutalai,9.7167,79.0,28.75,74,100,2.76,IN,2023-08-10 03:14:14
239,al jahra',29.3375,47.6581,36.46,28,29,2.04,KW,2023-08-10 03:14:14
240,tura,25.5198,90.2201,26.15,91,100,1.41,IN,2023-08-10 03:05:53
241,sakaiminato,35.55,133.2333,31.95,61,49,11.0,JP,2023-08-10 03:14:15
242,as sulayyil,20.4607,45.5779,29.14,13,2,0.94,SA,2023-08-10 03:02:26
243,buala,-8.145,159.5921,26.65,85,97,6.04,SB,2023-08-10 03:14:16
244,macapa,0.0389,-51.0664,27.99,89,75,3.6,BR,2023-08-10 03:14:17
245,trairi,-3.2778,-39.2689,24.58,85,27,3.7,BR,2023-08-10 03:13:07
246,inari,68.906,27.0288,17.11,89,6,0.77,FI,2023-08-10 03:14:17
247,broome,42.2506,-75.833,19.26,93,95,1.12,US,2023-08-10 03:06:14
248,mansa,29.9833,75.3833,31.52,56,98,4.21,IN,2023-08-10 03:14:18
249,avarua,-21.2078,-159.775,25.03,65,75,7.72,CK,2023-08-10 03:06:01
250,kaa-khem,51.6833,94.7333,21.07,58,61,2.08,RU,2023-08-10 03:14:18
251,orange,33.7,-117.7675,25.93,86,75,2.06,US,2023-08-10 03:14:19
252,strelka,58.0728,93.0344,20.8,55,12,1.87,RU,2023-08-10 03:09:30
253,chonchi,-42.6128,-73.8092,8.56,94,97,3.77,CL,2023-08-10 03:05:18
254,kui buri,12.0828,99.8543,32.21,58,72,3.84,TH,2023-08-10 03:14:20
255,guayaramerin,-10.8368,-65.3614,26.29,55,17,0.61,BO,2023-08-10 03:14:20
256,tanuku,16.75,81.7,31.2,67,100,3.06,IN,2023-08-10 03:14:20
257,morropon,-5.1822,-79.9689,22.52,77,6,1.47,PE,2023-08-10 03:14:20
258,ouani,-12.1322,44.4258,24.24,76,17,5.27,KM,2023-08-10 03:14:21
259,toliara,-23.35,43.6667,19.11,87,5,6.15,MG,2023-08-10 03:08:59
260,fortuna,40.5982,-124.1573,19.4,90,100,4.63,US,2023-08-10 03:05:16
261,roxas,11.5853,122.7511,30.08,62,81,1.85,PH,2023-08-10 03:14:21
262,baruun-urt,46.6806,113.2792,25.09,43,91,3.48,MN,2023-08-10 03:05:27
263,iskateley,67.6803,53.1512,13.55,75,0,2.75,RU,2023-08-10 03:05:08
264,burela de cabo,43.65,-7.4,17.87,84,39,3.38,ES,2023-08-10 03:14:22
265,willis,30.4249,-95.4799,31.33,71,0,7.72,US,2023-08-10 03:14:23
266,saint-philippe,-21.3585,55.7679,19.77,82,41,3.36,RE,2023-08-10 03:13:12
267,figuig (centre),32.1089,-1.2286,30.52,17,20,2.07,MA,2023-08-10 03:14:23
268,tralee,52.2704,-9.7026,15.23,91,18,3.9,IE,2023-08-10 03:06:00
269,mil'kovo,55.6078,37.7956,15.73,76,61,2.76,RU,2023-08-10 03:11:48
270,itoman,26.1247,127.6694,31.43,84,20,3.09,JP,2023-08-10 03:02:28
271,sabinas,27.85,-101.1167,33.92,29,7,3.8,MX,2023-08-10 03:14:24
272,palmer,42.1584,-72.3287,22.3,75,0,2.06,US,2023-08-10 03:09:05
273,bontang,0.1333,117.5,29.59,65,84,2.6,ID,2023-08-10 03:14:25
274,turuntayevo,52.2,107.6167,21.05,95,100,2.01,RU,2023-08-10 03:14:26
275,villa regina,-39.1,-67.0667,10.55,22,85,3.18,AR,2023-08-10 03:14:26
276,miagao,10.6442,122.2352,29.93,72,85,5.06,PH,2023-08-10 03:14:26
277,dulce grande,23.0,-102.1667,19.74,59,93,6.17,MX,2023-08-10 03:14:27
278,fale old settlement,-9.3852,-171.2468,28.06,78,31,6.58,TK,2023-08-10 03:05:11
279,nuku'alofa,-21.1333,-175.2,22.55,85,100,3.84,TO,2023-08-10 03:07:13
280,christchurch,-43.5333,172.6333,7.49,69,100,7.2,NZ,2023-08-10 03:07:02
281,lompoc,34.6391,-120.4579,20.08,86,100,1.54,US,2023-08-10 03:05:59
282,linxia chengguanzhen,35.6003,103.2064,25.68,59,38,2.41,CN,2023-08-10 03:14:29
283,changji,44.0167,87.3167,29.44,37,0,1.0,CN,2023-08-10 03:14:29
284,porto murtinho,-21.6989,-57.8825,23.35,61,0,1.24,BR,2023-08-10 03:14:29
285,watertown,42.3709,-71.1828,24.08,74,0,3.09,US,2023-08-10 03:04:13
286,sao vicente,-23.9631,-46.3919,22.37,26,70,2.63,BR,2023-08-10 03:14:30
287,camiri,-20.05,-63.5167,15.69,64,0,1.02,BO,2023-08-10 03:14:30
288,benguela,-12.5763,13.4055,19.13,86,2,2.44,AO,2023-08-10 03:14:30
289,portage la prairie,49.9728,-98.2926,13.95,58,98,3.3,CA,2023-08-10 03:14:31
290,mahanoro,-19.9,48.8,18.73,92,74,1.52,MG,2023-08-10 03:10:32
291,sabang,5.8933,95.3214,27.89,76,87,8.15,ID,2023-08-10 03:06:27
292,martuk,50.7475,56.5056,20.01,57,3,5.9,KZ,2023-08-10 03:14:32
293,argostolion,38.1811,20.489,21.53,87,4,2.78,GR,2023-08-10 03:09:27
294,papao,-17.75,-149.55,26.82,74,76,7.58,PF,2023-08-10 03:09:17
295,sinan,34.8262,126.1086,25.53,85,51,11.71,KR,2023-08-10 03:14:33
296,prince rupert,54.3161,-130.3201,14.52,92,100,1.55,CA,2023-08-10 03:06:42
297,timbuktu,16.7735,-3.0074,32.04,46,95,6.15,ML,2023-08-10 03:12:58
298,puerto madero,14.7208,-92.4215,27.11,100,40,0.0,MX,2023-08-10 03:14:33
299,ust'-uda,54.1742,103.0304,22.16,57,100,4.42,RU,2023-08-10 03:14:34
300,myitkyina,25.3833,97.4,24.9,98,100,0.39,MM,2023-08-10 03:08:13
301,zhezqazghan,47.7833,67.7667,21.32,73,40,3.0,KZ,2023-08-10 03:14:34
